pick,player,teamCode,teamName,group
1,Boe,ESP,Spain,H
2,Boe,ECU,Ecuador,E
3,Boe,EGY,Egypt,G
4,Boe,ALG,Algeria,J
5,Colm,NED,Netherlands,F
6,Colm,CZE,Czechia,A
7,Colm,SUI,Switzerland,B
8,Colm,PAR,Paraguay,D
9,Ivan,FRA,France,I
10,Ivan,SWE,Sweden,F
11,Ivan,CIV,Ivory Coast,E
12,Ivan,KSA,Saudi Arabia,H
13,T,ENG,England,L
14,T,MEX,Mexico,A
15,T,USA,United States,D
16,T,AUS,Australia,D
17,Sharon,ARG,Argentina,J
18,Sharon,CUW,Curacao,E
19,Sharon,CPV,Cape Verde,H
20,Sharon,TUN,Tunisia,F
21,Andy,BRA,Brazil,C
22,Andy,HAI,Haiti,C
23,Andy,SEN,Senegal,I
24,Andy,COD,DR Congo,K
25,Joey,GER,Germany,E
26,Joey,TUR,Turkiye,D
27,Joey,IRN,Iran,G
28,Joey,CAN,Canada,B
29,Vinny,POR,Portugal,K
30,Vinny,AUT,Austria,J
31,Vinny,SCO,Scotland,C
32,Vinny,IRQ,Iraq,I
33,Kachun,BEL,Belgium,G
34,Kachun,MAR,Morocco,C
35,Kachun,NZL,New Zealand,G
36,Kachun,BIH,Bosnia and Herzegovina,B
37,Chun,JPN,Japan,F
38,Chun,URU,Uruguay,H
39,Chun,GHA,Ghana,L
40,Chun,RSA,South Africa,A
41,Kakei,NOR,Norway,I
42,Kakei,COL,Colombia,K
43,Kakei,JOR,Jordan,J
44,Kakei,UZB,Uzbekistan,K
45,Janey,CRO,Croatia,L
46,Janey,KOR,South Korea,A
47,Janey,QAT,Qatar,B
48,Janey,PAN,Panama,L
