# groups
group	team_id	team_name_en	code
H	29		ESP
H	30		CPV
H	31		KSA
H	32		URU
I	33		FRA
I	34		SEN
I	35		IRQ
I	36		NOR
D	13		USA
D	14		PAR
D	15		AUS
D	16		TUR
E	17		GER
E	18		CUW
E	19		CIV
E	20		ECU
F	21		NED
F	22		JPN
F	23		SWE
F	24		TUN
G	25		BEL
G	26		EGY
G	27		IRN
G	28		NZL
A	1		MEX
A	2		RSA
A	3		KOR
A	4		CZE
B	5		CAN
B	6		BIH
B	7		QAT
B	8		SUI
L	45		ENG
L	46		CRO
L	47		GHA
L	48		PAN
K	41		POR
K	42		COD
K	43		UZB
K	44		COL
C	9		BRA
C	10		MAR
C	11		HAI
C	12		SCO
J	37		ARG
J	38		ALG
J	39		AUT
J	40		JOR

# games
id	home_team_id	away_team_id	group	local_date	stadium_id	type	home_team_name_en	away_team_name_en	home_team_label	away_team_label
1	1	2	A	06/11/2026 13:00	1	group	Mexico	South Africa		
2	3	4	A	06/11/2026 20:00	2	group	South Korea	Czech Republic		
3	5	6	B	06/12/2026 15:00	12	group	Canada	Bosnia and Herzegovina		
4	13	14	D	06/12/2026 18:00	16	group	United States	Paraguay		
5	11	12	C	06/13/2026 21:00	9	group	Haiti	Scotland		
6	15	16	D	06/13/2026 21:00	13	group	Australia	Turkey		
7	9	10	C	06/13/2026 18:00	11	group	Brazil	Morocco		
8	7	8	B	06/13/2026 12:00	15	group	Qatar	Switzerland		
9	19	20	E	06/14/2026 19:00	10	group	Ivory Coast	Ecuador		
10	17	18	E	06/14/2026 12:00	5	group	Germany	Curaçao		
11	21	22	F	06/14/2026 15:00	4	group	Netherlands	Japan		
12	23	24	F	06/14/2026 20:00	3	group	Sweden	Tunisia		
13	27	28	G	06/15/2026 18:00	16	group	Iran	New Zealand		
14	29	30	H	06/15/2026 12:00	7	group	Spain	Cape Verde		
15	25	26	G	06/15/2026 12:00	14	group	Belgium	Egypt		
16	31	32	H	06/15/2026 18:00	8	group	Saudi Arabia	Uruguay		
17	33	34	I	06/16/2026 15:00	11	group	France	Senegal		
18	35	36	I	06/16/2026 18:00	9	group	Iraq	Norway		
19	37	38	J	06/16/2026 20:00	6	group	Argentina	Algeria		
20	39	40	J	06/16/2026 21:00	15	group	Austria	Jordan		
21	41	42	K	06/17/2026 12:00	5	group	Portugal	Congo DR		
22	45	46	L	06/17/2026 15:00	4	group	England	Croatia		
23	43	44	K	06/17/2026 20:00	1	group	Uzbekistan	Colombia		
24	47	48	L	06/17/2026 19:00	12	group	Ghana	Panama		
25	1	3	A	06/18/2026 19:00	2	group	Mexico	South Korea		
26	8	6	B	06/18/2026 12:00	16	group	Switzerland	Bosnia and Herzegovina		
27	5	7	B	06/18/2026 15:00	13	group	Canada	Qatar		
28	4	2	A	06/18/2026 12:00	7	group	Czech Republic	South Africa		
29	9	11	C	06/19/2026 21:00	10	group	Brazil	Haiti		
30	12	10	C	06/19/2026 18:00	9	group	Scotland	Morocco		
31	13	15	D	06/19/2026 12:00	14	group	United States	Australia		
32	16	14	D	06/19/2026 20:00	15	group	Turkey	Paraguay		
33	17	19	E	06/20/2026 16:00	12	group	Germany	Ivory Coast		
34	20	18	E	06/20/2026 19:00	6	group	Ecuador	Curaçao		
35	21	23	F	06/20/2026 12:00	5	group	Netherlands	Sweden		
36	24	22	F	06/20/2026 22:00	3	group	Tunisia	Japan		
37	25	27	G	06/21/2026 12:00	16	group	Belgium	Iran		
38	28	26	G	06/21/2026 18:00	13	group	New Zealand	Egypt		
